Designator,Mid X,Mid Y,Rotation,Layer
C1,138.5,-52.615,180.0,top
C10,124.0,-44.975,180.0,top
C11,126.25,-48.475,270.0,top
C12,123.5,-52.975,270.0,top
C13,118.0,-46.725,90.0,top
C14,140.845,-83.48,270.0,top
C2,141.25,-53.115,180.0,top
C3,123.5,-66.25,180.0,top
C4,133.75,-98.25,270.0,top
C5,143.25,-53.115,0.0,top
C6,123.5,-78.0,180.0,top
C7,142.77,-94.5,0.0,top
C8,145.98,-93.25,0.0,top
C9,145.98,-95.22,0.0,top
D2,128.25,-53.725,270.0,top
J2,123.75,-101.5,180.0,top
L2,128.25,-48.225,90.0,top
R1,143.5,-65.75,270.0,top
R10,132.25,-99.75,270.0,top
R11,119.5,-46.725,270.0,top
R12,121.0,-46.725,270.0,top
R13,140.5,-66.25,90.0,top
R14,142.0,-66.25,270.0,top
R15,135.0,-64.73,180.0,top
R16,142.77,-97.01,0.0,top
R17,142.77,-99.52,0.0,top
R18,142.77,-102.03,0.0,top
R19,144.49,-103.75,0.0,top
R2,113.67,-93.5,0.0,top
R20,140.83,-104.23,0.0,top
R3,112.0,-100.75,180.0,top
R4,139.0,-65.865,90.0,top
R5,134.5,-87.75,0.0,top
R6,130.0,-83.5,270.0,top
R7,134.5,-86.0,0.0,top
R8,130.75,-99.75,90.0,top
R9,131.5,-97.5,0.0,top
U1,141.0,-58.865,0.0,top
U2,124.0,-48.475,90.0,top
U3,142.0,-74.365,0.0,top
U4,109.75,-90.0,180.0,top
U5,129.5,-91.5,90.0,top
U6,144.25,-86.25,0.0,top
